"latitude","longitude","InsularCoast","Laguna.d","Puerto.d","Rio.d","Afluente.Seco.d","Petroleo.d","Poblado.d","AbsorCoeffPhytoplank.Q3","AbsorCoeffNonAlgalMat.Median","ChlorophyllaConcent.Mean","PhotosyntheticRadiation.Q3","RemoteReflectance.Mean","SSTemperatureDay.Mean","SSTemperatureNight.Mean","SSTemperatureNight.Kurtosis","SeaLevelPreassure.Skewness","SeaSaltColumnDensity.Mean","SeaSaltColumnDensity.Sd","TwoMAirTemperature.Mean","SeaSaltConcentration.Mean","CarbonDioxide.Q1","CarbonDioxide.Skewness","MethaneNight.Median","MethaneNight.Q3","MethaneDay.Kurtosis","IncidentShortwave.Max","IncommingShortwave.Max","speed.cm.s.min"
10.3,-64.4,"Insular",36.223,18.474,2.148,37.77,23.659,2.8,19.0206,38.7313,316.2846,48.9443,0.2089,24.0856,22.8298,1.6186,-0.5101,10.3361,13.9208,2.9867,10.9932,3.975,-3.8569,1.8205,1.8253,12.6578,2.88,2.879,0
10.3,-64.4,"Continental",36.223,18.474,2.148,37.77,23.659,2.8,19.0206,38.7313,316.2846,48.9443,0.2089,24.0856,22.8298,1.6186,-0.5101,10.3361,13.9208,2.9867,10.9932,3.975,-3.8569,1.8205,1.8253,12.6578,2.88,2.879,0
10.3,-64.5,"Insular",45.828,8.959,9.498,45.561,13.462,6.787,15.85,31.62,201.9878,50.2079,0.3,24.1868,23.1689,-0.7523,-0.5101,10.3361,13.9208,2.9867,10.9932,3.975,-3.8941,1.8205,1.8253,12.6578,2.88,2.879,0.4628
10.3,-64.5,"Continental",45.828,8.959,9.498,45.561,13.462,6.787,15.85,31.62,201.9878,50.2079,0.3,24.1868,23.1689,-0.7523,-0.5101,10.3361,13.9208,2.9867,10.9932,3.975,-3.8941,1.8205,1.8253,12.6578,2.88,2.879,0.4628
10.3,-64.6,"Insular",55.733,6.074,18.639,54.445,6.491,6.831,15.85,31.62,269.0504,52.9596,0.25,23.9409,22.8852,-0.0379,-0.5101,10.3361,13.9208,2.9867,10.9932,3.975,-3.8941,1.8205,1.8253,12.6578,2.88,2.879,7.5631
10.4,-63.7,"Continental",9.063,58.495,11.935,28.303,51.102,7.44,55.23,63.1,1065.4405,51.5838,-0.0278,24.425,21.7101,42.0056,-0.3177,29.268,15.9879,2.9869,42.5081,3.971,-1.7063,1.8227,1.8284,30.0873,2.88,2.879,999
10.4,-63.8,"Continental",14.309,54.456,19.798,20.738,40.199,4.755,56.0746,63.1,843.9415,50.2079,0.017,23.4266,22.0538,7.4388,0.3592,25.6621,19.3452,2.9821,43.2246,3.971,-1.7063,1.8227,1.8284,30.0873,2.88,2.879,999
10.4,-63.9,"Continental",23.802,44.426,22.956,17.268,29.321,5.266,48.1361,61.2303,739.98,51.8895,0.022,24.4899,22.1268,9.5034,0.3592,25.6621,19.3452,2.9821,43.2246,3.971,-1.7063,1.8227,1.8284,30.0873,2.88,2.879,999
10.4,-64,"Continental",15.599,34.943,12.995,20.134,18.512,4.702,28.1099,47.9491,739.98,51.5838,0,23.7047,22.9631,-0.2689,0.3592,25.6621,19.3452,2.9821,43.2246,3.971,-1.7063,1.8227,1.8301,1.0716,2.88,2.879,999
10.4,-64.1,"Continental",8.629,26.597,7.068,19.027,8.053,7.418,18.253,48.9988,581.6262,53.9989,-0.0302,23.8681,22.4518,3.1436,0.3592,25.6621,19.3452,2.9821,43.2246,3.971,-1.7063,1.8205,1.8253,12.6578,2.88,2.879,20.2753
