"Locality","Site","InsularCoast","Position","Acropora.cervicornis","Acropora.palmata","Madracis.mirabilis","Madracis.sp","Oculina.diffusa","Porites.porites","Porites.sp","Agaricia.sp","Dichocoenia.stokesii","Meandrina.meandrites","Porites.astreoides","Pseudodiploria.clivosa","Pseudodiploria.strigosa","Other.Scleractinian.plate","Agaricia.agaricites.danai","Agaricia.tenuifolia","Other.Scleractinian.foliose","Agaricia.agaricites.agaricites","Agaricia.humilis","Colpophyllia.natans","Diploria.labyrinthiformis","Isophyllia.sp","Meandrina.sp","Montastrea.cavernosa","Orbicella.annularis","Orbicella.faveolata","Orbicella.franksi","Orbicella.sp","Porites.branneri","Siderastrea.radians","Siderastrea.siderea","Siderastrea.sp","Solenastrea.sp","Stephanocoenia.intersepta","Other.Scleractinian.massive","Dendrogyra.cylindrus","Mussa.angulosa","Other.Scleractinian.solitary.other","Madracis.decactis","Other.Scleractinian.encrusting","Eusmilia.fastigata","Other.Scleractinian.flower.cup","Briareum.asbestinum","Eunicea.sp","Gorgonia.sp","Muricea.sp","Plexaura.sp","Plexaurella.sp","Pseudoplexaura.sp","Pseudopterogorgia.sp","Pterogorgia.sp","Other.Octocorals.erect","Erythropodium.caribaeorum","Other.octocoral.encrusting","Millepora.alcicornis","Millepora.complanata","Millepora.sp","Palythoa.caribbaeorum","Zoanthus.sp","Agelas.sp","Aplysina.sp","Callyspongia.sp","Cliona.sp","Desmapsamma.sp","Ircinia.sp","Mycale.sp","Niphates.sp","Other.Sponge.massive","Other.Sponge.encrusting","Aiolochroia.sp","Other.Sponge.erect","Cyanobacteria","Turf","Other.Algae","Acetabularia","Caulerpa.racemosa","Caulerpa.sp","Dictyota.sp","Galaxaura.sp","Lobophora.variegata","Sargassum.sp","Ulva.sp","Ventricaria.sp","Other.clorophyta.Fleshy.algae","Other.Fleshy.algae","Actinaria","Diadema.antillarum","Bivalves","Spirobranchius.sp","Other.polychaete","Tunicates","Other.Other.invertebrates","Biotic.unknown","Dead.calcareous.algae","Dead.coral","Dead.octocoral","Gap","Rock","Rubble","Sand","Trash","Unknown","Artifact","Hydroidolina","Palythoa.sp","Crustose.coraline","Halimeda.sp","Other.Calcareous.algae","Xetospongia.sp","Palythoa.grandis","Palythoa.grandiflora","Eucheuma","Clavelina.sp","Pseudodiploria.sp","latitude","longitude"
"Los Frailes","La Pecha","Insular","East",0,0,0,0,0,0,0,0,0,0,0,0,0.0666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26666666666667,0,0,16.6,0.866666666666667,4.53333333333334,1.66666666666667,0.466666666666668,1.53333333333333,0,0,10.0666666666667,0,0,3.66666666666667,0,0,0,0,0,0,0,0,0,0.133333333333333,0,0,0.0666666666666667,0.266666666666667,30.8,0,0,0,0,0.533333333333333,0,0,0,0,0,0.733333333333334,0.533333333333334,0,0,0,0,0,0,0,0.2,0,0.0666666666666667,0,0,0.0666666666666667,2.53333333333333,22.5333333333333,0.533333333333333,0,0.133333333333333,0,0,0,0,0,0,0.0666666666666667,0,0,0.0666666666666667,0,11.202,-63.753
"Los Frailes","Puerto Real","Insular","East",0,0,0,0,0,0,0.133333333333333,0.0666666666666667,0,0,0.533333333333333,0,5.53333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133333333333333,0,0,0,0,0,0,0,0,1,0,0,3.6,0.0666666666666667,0,2.33333333333333,0,1.33333333333333,0,0.2,2.93333333333333,0,0,5.99999999999999,0,0.133333333333333,0.0666666666666667,0,0,0,0,0,0,0.400000000000001,1.53333333333333,0,0.133333333333333,5.53333333333333,38,0,0,0.933333333333334,0.0666666666666667,0.533333333333333,0,0,0,0,0,0.2,1.73333333333333,0.133333333333333,0,0,0,0,0,0,2.06666666666667,0,0.0666666666666667,0,0.133333333333333,0,3.6,15.5333333333333,0.0666666666666667,0,0.533333333333334,0,0,0,0,0,0,0,0,0,4.73333333333333,0,11.188,-63.73
"Los Roques","Cayo de Agua","Insular","West",0.133333333333333,0.0666666666666667,11.3333333333333,0.0666666666666667,0,0,0,0,0,0,0.533333333333334,0,0,0,0,0,0,0,0.133333333333333,0.933333333333334,0,0,0,0.0666666666666667,7.06666666666667,6.93333333333333,0,0.400000000000001,0,0,0,0,0,0,0,0,0,0,1.06666666666667,0,0.133333333333333,0,0.666666666666666,0,0,0,0.6,0.2,0.800000000000002,0.0666666666666667,0,0.133333333333333,0,0,0.666666666666667,0,0,0.4,0,0,0,0,0,0,0,0.133333333333333,0,0,0.0666666666666667,0,0.133333333333333,2.46666666666667,35.9333333333333,0,0,0,0,0,0,0,0,0,0,0.133333333333333,0.133333333333333,0,0,0,0,0,0,0,0.466666666666668,0,0,0,1.53333333333333,0,17,6.93333333333333,0,0,0.133333333333333,0,0,1.93333333333333,0,0.6,0,0,0,0,0,0,11.817,-66.94
"Los Roques","Cote","Insular","West",0,0,1.86666666666667,0,0,0,0,0,0,0.0666666666666667,1.66666666666666,0,0.333333333333333,0,0,0.4,0,0,0.266666666666667,0.0666666666666667,0.866666666666667,0,0,1.73333333333333,1.13333333333334,7.13333333333334,0,0.133333333333333,0,0,3.53333333333333,0,0,0,0.0666666666666667,0,0,0,0,0,0,0,0.333333333333334,0,1.73333333333333,0,6.99999999999999,0.0666666666666667,2.66666666666667,2.33333333333333,0,0.333333333333334,0.0666666666666667,0.133333333333333,5.4,0.733333333333334,0,0.533333333333332,0,0,0,0,0,0,0,0,0,0,0.133333333333333,0,0,2.06666666666667,40.6,0,0,0,0,0.0666666666666667,0,0,0,0,0,0.133333333333333,0.0666666666666667,0,0,0,0,0,0,0,0.599999999999999,0,0,0.0666666666666667,1.2,0,0.8,5.46666666666667,0,0,0,0,0,8.06666666666668,0.133333333333333,0,0,0,0,0,0,0,11.773,-66.721
"Los Roques","Dos Mosquises","Insular","West",0,0,6.77644927536232,0.0679347826086957,0,0,0.0666666666666667,0,0,0,0.0666666666666667,0,0.333333333333332,0,0,0.0666666666666667,0,0,0,3.34347826086956,0,0,0,0,6.60307971014492,9.94728260869566,0,0,0,0,0.266666666666667,0.0679347826086957,0,0,0.133333333333333,0.4,0,0,0.0666666666666667,0,0,0,0.600000000000001,1.07173913043478,0,0.134601449275362,0.0679347826086957,0.747282608695653,0.666666666666668,1.7536231884058,0.203804347826087,0.599999999999999,0.0666666666666667,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0666666666666667,0,0,0.800000000000001,37.0454710144928,0,0,0,0,0.133333333333333,0,0,0,0,0,0,0.0666666666666667,0,0,0,0,0.133333333333333,0,0,1.6,0,1.28695652173913,0.333333333333334,0.738405797101448,0.0666666666666667,10.2945652173913,11.6494565217391,0,0,0,0,0,0.933333333333334,0,0.333333333333332,0,0,0,0,0,0,11.793,-66.896
"Los Roques","La Venada","Insular","West",25,0,0,0,0,0,0,0.0666666666666667,0,0,0,0,0.133333333333333,0,0,0,0,0.0666666666666667,0.266666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.466666666666668,0,0,0,0,0,0,0,0,0,0,0,1.4,0.0666666666666667,0,0,0,0,0,0,0,0,0,0,0,1.13333333333333,0.533333333333333,0,0.2,0.733333333333333,12.8666666666667,0,0,0,0,0,0,0,0,0,0,0,0.0666666666666667,0,0,0,0,0,0,0,0.2,1.26666666666667,0,0,0,0,50.4,2.93333333333333,0.2,0.0666666666666667,0,0,0,0.333333333333334,1.6,0,0,0,0,0,0,0,11.879,-66.724
"Los Roques","Las Salinas","Insular","West",0,0,0,0,0,0,0,0,0,0,0.411711576095138,0,1.08133684497321,0,0,0,0,0,0.133333333333333,0.136986301369863,1.16103744740108,0,0.0666666666666667,1.70205097932371,0.206043956043956,3.35042106088183,0,0,0,0.0666666666666667,3.02117038212929,0,0,0,0.0686813186813188,0,0,0,0,0.135159817351598,0,0,0.135347985347986,0.549075250196048,0.550207368389187,0,11.0833549596937,0.0686813186813188,3.67473962318296,3.26995868390638,0,0.88530784284209,0,0,1.64306762146114,0,0,0.137551842097297,0,0,0,0,0,0,0,0,0,0.137363674100909,0.0666666666666667,0,0,0.613539096851674,34.3702463995117,0,0,0,0,3.02111103923059,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0.205479452054795,0,0,0.137362637362637,0,0,7.62867773571386,18.5077392304665,0,0,0.411713649571681,0,0,0.686816297028004,0.274725274725275,0,0,0,0,0,0,0,11.74,-66.807
"Los Roques","Madriski","Insular","West",0,0,0,0,0,0,0,1.4,0,0,1.2,0,0,0,0.2,0,0.0666666666666667,0.133333333333333,0,2.6,0,0,0,0.466666666666668,0,4.06666666666667,0.133333333333333,0,0,0,0,0,0,0,0.133333333333333,0,0,0.0666666666666667,0,0,0.400000000000001,0,4.2,1.53333333333333,0,0,1.93333333333333,0.6,2.4,4.8,0.2,1.33333333333333,0.533333333333332,0,2.53333333333333,0,0.0666666666666667,0.2,0,0.4,0,0.333333333333333,0.0666666666666667,0,0,0,0,1.6,0.933333333333334,0,0.533333333333334,0.2,35.7333333333333,0.0666666666666667,0,0,0,6.99999999999999,0,0,0,0,0,0.0666666666666667,2.46666666666667,0,0,0,0,0,0,0,1.26666666666667,0,0,0.0666666666666667,0.333333333333334,0,0.2,16.8666666666667,0,0,0.133333333333333,0,0,0.533333333333333,0,0,0,0,0,0,0,0,11.94,-66.661
"Los Roques","Rabuski","Insular","West",0,0,0,0,0,0,0,0.897069597069598,0,0,0,0,0.0666666666666667,0.0666666666666667,0,0,0,0,0.133333333333333,2.14835164835165,0,0,0,0,3.56666666666667,38.5435897435897,0,1.2,0,0,0.153846153846154,0,0,0,0,0,0,0,0,0.0666666666666667,0,0,3.30952380952381,0.414285714285714,0,0,0.645054945054945,0,0.0714285714285715,2.37948717948718,0,0.501465201465201,1.75531135531136,0.153846153846154,3.82014652014652,0,0.133333333333333,0,0,0.0666666666666667,0.761904761904761,0.148351648351648,0,0,0,0.0714285714285715,0,0.215018315018315,0.343589743589744,0,0.687179487179487,1.41391941391941,26.5908424908425,0,0,0,0,0.0666666666666667,0,0.0666666666666667,0,0,0,0,0.2,0,0,0,0,0.076923076923077,0,0,2.07655677655678,0,0,0.133333333333333,0.287179487179487,0,1.42490842490843,3.0032967032967,0,0,0.343589743589744,0,0,1.99523809523809,0,0,0,0,0,0,0,0,11.882,-66.689
"Mochima","Blanca","Continental","East",0,0,0,0,0,0,0,0,0.832624015411756,0.209497206703911,0.276453224341508,0,5.24721896633668,0,0,0,0,0,0,12.7863043923164,0,0,0.416666666666668,1.3170226152964,0,0,0,0,0,0.0694444444444445,0.27816573556797,0,0,0.138888888888889,0.139276846679081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6098184822668,0,0,0,0,0,0,0.0698324022346368,0,0,0,0,0,0.207784695477448,0.0698324022346368,0,0.277777777777778,3.75230026199308,29.0070267929781,0.208721291123526,0,0,0,0,0,0,0,0,0,0,0,0.346285626576145,0,0,2.0141827642722,0.139664804469274,0,0,0.346285626576145,0,0,0,0,0,0,8.66209003326924,0,0,0.899192075259161,0,0,9.67764196083803,0,0,0,0,0,0,0,0,10.394,-64.335
