"File","Locality","Site","Transect","Loc","InsularCoast","Position","Acropora cervicornis","Acropora palmata","Madracis mirabilis","Madracis sp.","Oculina diffusa","Porites porites","Porites sp.","Agaricia sp.","Dichocoenia stokesii","Meandrina meandrites","Porites astreoides","Pseudodiploria clivosa","Pseudodiploria strigosa","Other (Scleractinian plate)","Agaricia agaricites (danai)","Agaricia tenuifolia","Other (Scleractinian foliose)","Agaricia agaricites (agaricites)","Agaricia humilis","Colpophyllia natans","Diploria labyrinthiformis","Isophyllia sp.","Meandrina sp.","Montastrea cavernosa","Orbicella annularis","Orbicella faveolata","Orbicella franksi","Orbicella sp.","Porites branneri","Siderastrea radians","Siderastrea siderea","Siderastrea sp.","Solenastrea sp.","Stephanocoenia intersepta","Other (Scleractinian massive)","Dendrogyra cylindrus","Mussa angulosa","Other (Scleractinian solitary/ other)","Madracis decactis","Other (Scleractinian encrusting)","Eusmilia fastigata","Other (Scleractinian flower cup)","Briareum asbestinum","Eunicea sp.","Gorgonia sp.","Muricea sp.","Plexaura sp.","Plexaurella sp.","Pseudoplexaura sp.","Pseudopterogorgia sp.","Pterogorgia sp.","Other (Octocorals erect)","Erythropodium caribaeorum","Other (octocoral encrusting)","Millepora alcicornis","Millepora complanata","Millepora sp.","Palythoa caribbaeorum","Zoanthus sp.","Agelas sp.","Aplysina sp.","Callyspongia sp.","Cliona sp.","Desmapsamma sp.","Ircinia sp.","Mycale sp.","Niphates sp.","Other (Sponge massive)","Other (Sponge encrusting)","Aiolochroia sp.","Other (Sponge erect)","Cyanobacteria","Turf","Other (Algae)","Acetabularia","Caulerpa racemosa","Caulerpa sp.","Dictyota sp.","Galaxaura sp.","Lobophora variegata","Sargassum sp.","Ulva sp.","Ventricaria sp.","Other clorophyta (Fleshy algae)","Other (Fleshy algae)","Actinaria","Diadema antillarum","Bivalves","Spirobranchius sp.","Other polychaete","Tunicates","Other (Other invertebrates)","Biotic (unknown)","Dead calcareous algae","Dead coral","Dead octocoral","Gap","Rock","Rubble","Sand","Trash","Unknown","Artifact","Hydroidolina","Palythoa sp.","Crustose coraline","Halimeda sp.","Other (Calcareous algae)","Xetospongia sp.","Palythoa grandis","Palythoa grandiflora","Eucheuma","Clavelina sp.","Pseudodiploria sp."
"cominoto_t4.rndpts.csv","Los Frailes","Cominoto","t4","LFR","Insular","East",0,0,0,0,0,0,0,0,0,0,0,0,5.06666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,6.4,0.533333333333333,6.13333333333333,3.2,0,1.06666666666667,0,0,1.86666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266666666666667,0,0,1.33333333333333,33.0666666666667,0,0,0,0,2.4,0,0,0,0,0,0.8,0.266666666666667,0,0,0,0,0,1.33333333333333,0,1.33333333333333,0,0,0.266666666666667,0,0,1.6,32,0,0,0,0.266666666666667,0,0,0,0,0,0,0,0,0,0
"conejo_t1.rndpts.csv","Cubagua","Punta Conejo","t1","CUB","Insular","East",0,0,0,0,0,0,0,0,0,0,0.284090909090909,0,10.5113636363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13636363636364,0.284090909090909,0,0,0,0,0,0,0,5.39772727272727,5.11363636363636,0,0,1.13636363636364,32.6704545454545,0,0,0,0,0.568181818181818,0,0,0,11.0795454545455,0,0.852272727272727,18.4659090909091,0,0,0,0,0,0,0,3.40909090909091,0,0,0,0.284090909090909,0,0,7.95454545454545,0,0,0.284090909090909,0,0,0,0,0.284090909090909,0,0,0,0,0,0
"conejo_t2.rndpts.csv","Cubagua","Punta Conejo","t2","CUB","Insular","East",0,0,0,0,0.266666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66666666666667,4,0,0,0,17.0666666666667,0,0,0,0,0.533333333333333,0,0,0.266666666666667,26.1333333333333,0,0.266666666666667,0,0,0,0,0,0,0.266666666666667,0,0.266666666666667,0,0,0,0,0,0,41.6,0,0,0,0,0,0,0,0,0,0,0.533333333333333,0,0,0
"conejo_t3.rndpts.csv","Cubagua","Punta Conejo","t3","CUB","Insular","East",0,0,0,0,0,0,0,0,0,0,0,0,0.533333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.93333333333333,0,0,0,0,0,0,0,0,0,6.13333333333333,2.4,0,0,0,43.2,0,0,0,0,0,0,0,0,0,0,34.6666666666667,0.533333333333333,0.533333333333333,0,0,0,0,0,0,0.266666666666667,0,0,0,0,0,0,8,0,0,0.533333333333333,0.266666666666667,0,0,0,0,0,0,0,0,0,0
"conejo_t4.rndpts.csv","Cubagua","Punta Conejo","t4","CUB","Insular","East",0,0,0,0,0,0,0,0,0,0,0,0,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06666666666667,0,0,0,0,0.266666666666667,0,0,2.4,6.4,0,0,0.533333333333333,32.8,0,0,0,0,1.06666666666667,0,0,0,19.4666666666667,0,11.2,0,0.266666666666667,0,0,0,0,0,0,2.13333333333333,0,0,0,0,0,0.533333333333333,14.4,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0
"cote_t1.rndpts.csv","Los Roques","Boca de Cote","t1","LRQ","Insular","West",0,0,0.266666666666667,0,0,0,0,0,0,0.266666666666667,2.13333333333333,0,0,0,0,0,0,0,0.533333333333333,0,0.8,0,0,0.266666666666667,0.8,14.4,0,0,0,0,1.33333333333333,0,0,0,0,0,0,0,0,0,0,0,1.06666666666667,0,0.8,0,2.4,0.266666666666667,0,1.06666666666667,0,0,0.266666666666667,0.533333333333333,7.73333333333333,1.86666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0.266666666666667,0,0,4,34.1333333333333,0,0,0,0,0,0,0,0,0,0,0,0.266666666666667,0,0,0,0,0,0,0,0,0,0,0,2.66666666666667,0,1.33333333333333,2.4,0,0,0,0,0,17.8666666666667,0.266666666666667,0,0,0,0,0,0,0
"cote_t2.rndpts.csv","Los Roques","Boca de Cote","t2","LRQ","Insular","West",0,0,7.2,0,0,0,0,0,0,0,0.8,0,0.8,0,0,0,0,0,0,0.266666666666667,0.266666666666667,0,0,1.06666666666667,1.06666666666667,7.46666666666667,0,0.533333333333333,0,0,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1.86666666666667,0,11.7333333333333,0,3.2,2.4,0,0,0,0,5.06666666666667,0.533333333333333,0,0.533333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,38.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33333333333333,0,0,0.266666666666667,0.266666666666667,0,0.266666666666667,5.6,0,0,0,0,0,0.533333333333333,0.266666666666667,0,0,0,0,0,0,0
"cote_t3.rndpts.csv","Los Roques","Boca de Cote","t3","LRQ","Insular","West",0,0,0,0,0,0,0,0,0,0,2.4,0,0.533333333333333,0,0,0,0,0,0.266666666666667,0,1.06666666666667,0,0,4,2.66666666666667,4.8,0,0,0,0,2.66666666666667,0,0,0,0.266666666666667,0,0,0,0,0,0,0,0,0,1.33333333333333,0,4,0,2.4,2.93333333333333,0,1.06666666666667,0,0,3.2,0.533333333333333,0,1.33333333333333,0,0,0,0,0,0,0,0,0,0,0.266666666666667,0,0,0.8,52,0,0,0,0,0.266666666666667,0,0,0,0,0,0.533333333333333,0,0,0,0,0,0,0,0,0.266666666666667,0,0,0,0.533333333333333,0,1.06666666666667,4,0,0,0,0,0,4.8,0,0,0,0,0,0,0,0
"cote_t4.rndpts.csv","Los Roques","Boca de Cote","t4","LRQ","Insular","West",0,0,0,0,0,0,0,0,0,0,1.33333333333333,0,0,0,0,1.6,0,0,0.266666666666667,0,1.33333333333333,0,0,1.6,0,1.86666666666667,0,0,0,0,4.53333333333333,0,0,0,0,0,0,0,0,0,0,0,0.266666666666667,0,2.93333333333333,0,9.86666666666667,0,5.06666666666667,2.93333333333333,0,0.266666666666667,0,0,5.6,0,0,0.266666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06666666666667,37.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,1.33333333333333,0,0.533333333333333,9.86666666666667,0,0,0,0,0,9.06666666666667,0,0,0,0,0,0,0,0
"cruz_t1.rndpts.csv","Mochima","Punta Cruz","t1","MOC","Continental","East",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33333333333333,0,0,0,0.833333333333333,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0.833333333333333,0,0,0,0,2.5,56.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833333333333333,0,0,0,0,0,28.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
