"latitude","longitude"
10.74,-71.61
10.72,-71.61
10.65,-71.61
10.63,-71.61
9.04,-71.61
11.69,-71.6
10.72,-71.6
10.71,-71.6
10.7,-71.6
10.69,-71.6
10.67,-71.6
10.66,-71.6
10.65,-71.6
9.04,-71.6
11.69,-71.59
10.8,-71.59
9.04,-71.59
11.69,-71.58
10.81,-71.58
10.8,-71.58
10.79,-71.58
9.04,-71.58
11.69,-71.56
10.81,-71.56
10.78,-71.56
10.76,-71.56
9.04,-71.56
11.69,-71.55
10.81,-71.55
10.76,-71.55
10.75,-71.55
10.74,-71.55
10.72,-71.55
9.04,-71.55
11.7,-71.54
11.69,-71.54
10.81,-71.54
10.72,-71.54
10.71,-71.54
10.7,-71.54
9.04,-71.54
11.7,-71.53
10.81,-71.53
10.69,-71.53
10.67,-71.53
10.66,-71.53
10.65,-71.53
10.63,-71.53
10.62,-71.53
10.61,-71.53
10.6,-71.53
10.58,-71.53
10.57,-71.53
10.56,-71.53
10.55,-71.53
9.04,-71.53
11.7,-71.51
10.81,-71.51
10.55,-71.51
10.53,-71.51
9.04,-71.51
11.7,-71.5
10.81,-71.5
10.53,-71.5
10.52,-71.5
9.04,-71.5
11.72,-71.49
11.7,-71.49
10.81,-71.49
10.52,-71.49
10.51,-71.49
9.04,-71.49
11.72,-71.47
10.98,-71.47
10.97,-71.47
10.95,-71.47
10.94,-71.47
10.93,-71.47
10.81,-71.47
10.51,-71.47
10.43,-71.47
10.42,-71.47
10.41,-71.47
9.04,-71.47
11.72,-71.46
10.99,-71.46
10.98,-71.46
10.93,-71.46
10.91,-71.46
10.81,-71.46
10.51,-71.46
10.49,-71.46
10.47,-71.46
10.46,-71.46
10.44,-71.46
10.43,-71.46
10.41,-71.46
10.39,-71.46
9.06,-71.46
9.04,-71.46
11.72,-71.45
10.99,-71.45
10.91,-71.45
10.83,-71.45
10.81,-71.45
10.49,-71.45
10.48,-71.45
10.47,-71.45
10.39,-71.45
10.38,-71.45
9.06,-71.45
11.73,-71.44
11.72,-71.44
10.99,-71.44
10.91,-71.44
10.9,-71.44
10.89,-71.44
10.88,-71.44
10.86,-71.44
10.85,-71.44
10.84,-71.44
10.83,-71.44
10.37,-71.44
10.36,-71.44
9.06,-71.44
11.73,-71.42
10.99,-71.42
10.36,-71.42
10.34,-71.42
9.07,-71.42
11.74,-71.41
10.99,-71.41
10.34,-71.41
10.33,-71.41
10.32,-71.41
9.07,-71.41
11.76,-71.4
11.74,-71.4
10.99,-71.4
10.32,-71.4
10.3,-71.4
9.08,-71.4
9.07,-71.4
11.76,-71.39
10.99,-71.39
10.3,-71.39
10.29,-71.39
10.28,-71.39
10.27,-71.39
9.08,-71.39
11.77,-71.37
10.99,-71.37
10.25,-71.37
10.24,-71.37
9.08,-71.37
11.78,-71.36
11.77,-71.36
10.99,-71.36
10.23,-71.36
9.08,-71.36
11.82,-71.35
11.81,-71.35
11.79,-71.35
11.78,-71.35
10.99,-71.35
10.23,-71.35
10.21,-71.35
9.1,-71.35
9.08,-71.35
11.84,-71.33
11.83,-71.33
11.82,-71.33
10.99,-71.33
10.2,-71.33
9.1,-71.33
11.87,-71.32
11.86,-71.32
11.84,-71.32
10.99,-71.32
10.2,-71.32
10.19,-71.32
9.11,-71.32
9.1,-71.32
11.89,-71.31
11.88,-71.31
11.87,-71.31
11,-71.31
10.99,-71.31
10.19,-71.31
9.11,-71.31
11.91,-71.3
11.89,-71.3
11,-71.3
10.18,-71.3
10.16,-71.3
9.12,-71.3
9.11,-71.3
12.35,-71.28
12.34,-71.28
12.33,-71.28
11.92,-71.28
11,-71.28
10.16,-71.28
10.15,-71.28
10.14,-71.28
9.12,-71.28
12.33,-71.27
11.93,-71.27
11,-71.27
10.14,-71.27
10.13,-71.27
10.11,-71.27
9.13,-71.27
9.12,-71.27
12.33,-71.26
12.31,-71.26
11.95,-71.26
11.93,-71.26
11,-71.26
10.11,-71.26
10.1,-71.26
10.09,-71.26
10.07,-71.26
9.16,-71.26
9.15,-71.26
9.13,-71.26
12.31,-71.25
11.96,-71.25
11.95,-71.25
11,-71.25
10.06,-71.25
10.05,-71.25
10.04,-71.25
10.02,-71.25
10.01,-71.25
10,-71.25
9.17,-71.25
9.16,-71.25
12.31,-71.23
12.3,-71.23
11.96,-71.23
11.02,-71.23
11,-71.23
10,-71.23
9.99,-71.23
9.18,-71.23
9.17,-71.23
12.3,-71.22
12.29,-71.22
12.28,-71.22
12.26,-71.22
11.97,-71.22
11.02,-71.22
9.99,-71.22
9.18,-71.22
12.25,-71.21
12.24,-71.21
11.98,-71.21
11.97,-71.21
11.02,-71.21
9.99,-71.21
9.21,-71.21
9.2,-71.21
12.24,-71.2
12.23,-71.2
11.98,-71.2
11.03,-71.2
11.02,-71.2
9.99,-71.2
9.97,-71.2
9.25,-71.2
9.23,-71.2
9.22,-71.2
9.21,-71.2
12.23,-71.18
12.21,-71.18
11.98,-71.18
11.03,-71.18
9.97,-71.18
9.96,-71.18
9.26,-71.18
9.25,-71.18
12.21,-71.17
12.2,-71.17
12,-71.17
11.04,-71.17
9.96,-71.17
9.95,-71.17
9.26,-71.17
12.19,-71.16
12.01,-71.16
12,-71.16
11.04,-71.16
9.95,-71.16
9.27,-71.16
9.26,-71.16
12.18,-71.14
12.16,-71.14
12.15,-71.14
12.02,-71.14
12.01,-71.14
11.05,-71.14
9.95,-71.14
9.94,-71.14
9.27,-71.14
12.15,-71.13
12.14,-71.13
12.12,-71.13
12.04,-71.13
12.02,-71.13
11.07,-71.13
11.05,-71.13
9.94,-71.13
9.92,-71.13
9.29,-71.13
9.27,-71.13
12.12,-71.12
12.11,-71.12
12.1,-71.12
12.05,-71.12
12.04,-71.12
11.07,-71.12
9.92,-71.12
9.91,-71.12
9.29,-71.12
12.1,-71.11
12.09,-71.11
12.07,-71.11
12.06,-71.11
12.05,-71.11
11.08,-71.11
11.07,-71.11
9.91,-71.11
9.3,-71.11
9.29,-71.11
11.08,-71.09
9.9,-71.09
9.58,-71.09
9.57,-71.09
9.55,-71.09
9.54,-71.09
9.53,-71.09
9.52,-71.09
9.31,-71.09
9.3,-71.09
11.09,-71.08
11.08,-71.08
9.9,-71.08
9.88,-71.08
9.87,-71.08
9.86,-71.08
9.85,-71.08
9.83,-71.08
9.82,-71.08
9.81,-71.08
9.6,-71.08
9.59,-71.08
9.58,-71.08
9.52,-71.08
9.5,-71.08
9.49,-71.08
9.48,-71.08
9.46,-71.08
9.45,-71.08
9.44,-71.08
9.43,-71.08
9.41,-71.08
9.32,-71.08
9.31,-71.08
11.09,-71.07
9.81,-71.07
9.8,-71.07
9.63,-71.07
9.62,-71.07
9.6,-71.07
9.4,-71.07
9.39,-71.07
9.35,-71.07
9.34,-71.07
9.32,-71.07
11.11,-71.06
11.09,-71.06
9.78,-71.06
9.77,-71.06
9.68,-71.06
9.67,-71.06
9.65,-71.06
9.64,-71.06
9.63,-71.06
9.38,-71.06
9.36,-71.06
9.35,-71.06
11.11,-71.04
9.77,-71.04
9.76,-71.04
9.71,-71.04
9.69,-71.04
9.68,-71.04
11.12,-71.03
9.76,-71.03
9.74,-71.03
9.73,-71.03
9.72,-71.03
11.13,-71.02
11.12,-71.02
11.13,-71
11.13,-70.99
11.14,-70.98
11.13,-70.98
11.14,-70.97
11.14,-70.95
11.16,-70.94
11.16,-70.93
11.17,-70.92
11.17,-70.9
11.18,-70.89
11.17,-70.89
11.18,-70.88
11.2,-70.86
11.18,-70.86
11.2,-70.85
11.21,-70.84
11.2,-70.84
11.21,-70.83
11.22,-70.81
11.22,-70.8
11.22,-70.79
11.22,-70.78
11.22,-70.76
11.22,-70.75
11.23,-70.74
11.22,-70.74
11.23,-70.72
11.25,-70.71
11.23,-70.71
11.25,-70.7
