"latitude","longitude","speed.m.s.mean","direction.deg.t.mean"
11.69,-71.47,0.3,240
11.69,-71.49,0.3,240
11.68,-71.49,0.3,240.143540669856
11.67,-71.49,0.3,240.287081339713
11.66,-71.49,0.3,240.430622009569
11.64,-71.49,0.3,240.574162679426
11.63,-71.49,0.3,240.717703349282
11.62,-71.49,0.3,240.861244019139
11.63,-71.47,0.3,241.004784688995
11.63,-71.46,0.3,241.148325358852
11.64,-71.47,0.3,241.291866028708
11.66,-71.47,0.3,241.435406698565
11.66,-71.46,0.3,241.578947368421
11.67,-71.47,0.3,241.722488038278
11.68,-71.5,0.3,241.866028708134
11.67,-71.5,0.3,242.00956937799
11.66,-71.5,0.3,242.153110047847
11.64,-71.5,0.3,242.296650717703
11.63,-71.5,0.3,242.44019138756
11.62,-71.5,0.3,242.583732057416
11.68,-71.51,0.3,242.727272727273
11.69,-71.51,0.3,242.870813397129
11.67,-71.51,0.3,243.014354066986
11.66,-71.51,0.3,243.157894736842
11.66,-71.53,0.3,243.301435406699
11.66,-71.54,0.3,243.444976076555
11.62,-71.54,0.3,243.588516746411
11.62,-71.53,0.3,243.732057416268
11.63,-71.53,0.3,243.875598086124
11.63,-71.54,0.3,244.019138755981
11.64,-71.54,0.3,244.162679425837
11.64,-71.53,0.3,244.306220095694
11.64,-71.51,0.3,244.44976076555
11.63,-71.51,0.3,244.593301435407
11.62,-71.51,0.3,244.736842105263
11.61,-71.5,0.3,244.88038277512
11.61,-71.51,0.3,245.023923444976
11.61,-71.53,0.3,245.167464114833
11.61,-71.54,0.3,245.311004784689
11.59,-71.54,0.3,245.454545454545
11.68,-71.53,0.3,245.598086124402
11.67,-71.53,0.3,245.741626794258
11.67,-71.54,0.3,245.885167464115
11.66,-71.55,0.3,246.028708133971
11.62,-71.55,0.3,246.172248803828
11.63,-71.55,0.3,246.315789473684
11.64,-71.55,0.3,246.459330143541
11.61,-71.55,0.3,246.602870813397
11.59,-71.55,0.3,246.746411483254
11.66,-71.56,0.3,246.88995215311
11.62,-71.56,0.3,247.033492822967
11.63,-71.56,0.3,247.177033492823
11.64,-71.56,0.3,247.320574162679
11.66,-71.58,0.3,247.464114832536
11.59,-71.58,0.4,247.607655502392
11.58,-71.58,0.4,247.751196172249
11.61,-71.58,0.4,247.894736842105
11.64,-71.59,0.3,248.038277511962
11.62,-71.59,0.4,248.181818181818
11.61,-71.59,0.4,248.325358851675
11.59,-71.59,0.4,248.468899521531
11.58,-71.59,0.4,248.612440191388
11.57,-71.59,0.4,248.755980861244
11.63,-71.6,0.4,248.8995215311
11.62,-71.6,0.4,249.043062200957
11.61,-71.6,0.4,249.186602870813
11.59,-71.6,0.4,249.33014354067
11.58,-71.6,0.4,249.473684210526
11.57,-71.6,0.4,249.617224880383
11.63,-71.61,0.4,249.760765550239
11.62,-71.61,0.4,249.904306220096
11.61,-71.61,0.4,250.047846889952
11.59,-71.61,0.4,250.191387559809
11.58,-71.61,0.4,250.334928229665
11.57,-71.61,0.4,250.478468899522
11.61,-71.63,0.4,250.622009569378
11.62,-71.63,0.4,250.765550239234
11.63,-71.63,0.4,250.909090909091
11.57,-71.63,0.4,251.052631578947
11.58,-71.63,0.4,251.196172248804
11.59,-71.63,0.4,251.33971291866
11.61,-71.64,0.4,251.483253588517
11.62,-71.64,0.4,251.626794258373
11.63,-71.64,0.4,251.77033492823
11.61,-71.65,0.4,251.913875598086
